year,month,State,type_of_connection,value,date,Service_provider
2009,1,ALL INDIA,wireline,29291013,01-01-2009,BSNL
2009,1,Jammu And Kashmir,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Haryana,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Himachal Pradesh,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Gujarat,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Delhi,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Chhattisgarh,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Chennai,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Bihar,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Assam,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Arunachal Pradesh,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Andaman And Nicobar Islands,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,ALL INDIA,wireless,385568,01-01-2009,HFCL / QUADRANT
2009,1,West Bengal,wireless,385568,01-01-2009,HFCL / QUADRANT
2009,1,Uttarakhand,wireless,385568,01-01-2009,HFCL / QUADRANT
2009,1,Uttar Pradesh (West),wireless,385568,01-01-2009,HFCL / QUADRANT
2009,1,Jharkhand,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Karnataka,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Kerala,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Kolkata,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Arunachal Pradesh,wireless,3062385,01-01-2009,TATA TELE
2009,1,Andaman And Nicobar Islands,wireless,434649,01-01-2009,TATA TELE
2009,1,ALL INDIA,wireless,434649,01-01-2009,SISTEMA / MTS
2009,1,West Bengal,wireless,434649,01-01-2009,SISTEMA / MTS
2009,1,Uttarakhand,wireless,434649,01-01-2009,SISTEMA / MTS
2009,1,Uttar Pradesh (West),wireless,434649,01-01-2009,SISTEMA / MTS
2009,1,Uttar Pradesh (East),wireless,434649,01-01-2009,SISTEMA / MTS
2009,1,Uttar Pradesh (East),wireless,385568,01-01-2009,HFCL / QUADRANT
2009,1,Tamil Nadu,wireless,434649,01-01-2009,SISTEMA / MTS
2009,1,Punjab,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Odisha,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,North East 2,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,North East 1,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Mumbai,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Maharashtra,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Madhya Pradesh,wireless,385568,01-01-2009,SISTEMA / MTS
2009,1,Rajasthan,wireless,434649,01-01-2009,SISTEMA / MTS
2009,1,Tamil Nadu,wireless,385568,01-01-2009,HFCL / QUADRANT
2009,1,Rajasthan,wireless,385568,01-01-2009,HFCL / QUADRANT
2009,1,Punjab,wireless,385568,01-01-2009,HFCL / QUADRANT
2009,1,Andaman And Nicobar Islands,wireless,66295374,01-01-2009,HFCL / QUADRANT
2009,1,ALL INDIA,wireless,66295374,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,West Bengal,wireless,2777651,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,Uttarakhand,wireless,3082754,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,Uttar Pradesh (West),wireless,3082754,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,Uttar Pradesh (East),wireless,4708947,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,Tamil Nadu,wireless,3457073,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,Arunachal Pradesh,wireless,66295374,01-01-2009,HFCL / QUADRANT
2009,1,Rajasthan,wireless,2974818,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,Odisha,wireless,1969362,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,North East 1,wireless,467055,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,North East 1,wireless,467055,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,Mumbai,wireless,4250364,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,Maharashtra,wireless,3863696,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,Madhya Pradesh,wireless,5800150,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,Kolkata,wireless,2504017,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,Punjab,wireless,1308645,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,Assam,wireless,27647,01-01-2009,TATA TELE
2009,1,Assam,wireless,66295374,01-01-2009,HFCL / QUADRANT
2009,1,Chennai,wireless,66295374,01-01-2009,HFCL / QUADRANT
2009,1,Odisha,wireless,66295374,01-01-2009,HFCL / QUADRANT
2009,1,North East 2,wireless,66295374,01-01-2009,HFCL / QUADRANT
2009,1,North East 1,wireless,66295374,01-01-2009,HFCL / QUADRANT
